product_type,brand_name,product_description,search_result_id,watersense_certified,energy_star_certified,ada_certified,product_url,image_url,product_rating,cost,currency
toilet,icera,"Icera Julian 1-piece 1.28GPF Single Flush Elongated Toilet in White, Seat Included",313542163,1,0,1,https://www.homedepot.com/p/Icera-Julian-1-piece-1-28GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-C-2320-01/313542163,https://images.thdstatic.com/productImages/3a60241b-c769-4fe1-8737-490e2ae42f60/svn/white-icera-one-piece-toilets-c-2320-01-64_1000.jpg,5,465,USD
toilet,speakman,"Speakman Glenwynn 12 in. 2-Piece 1.28 GPF/4.8 LPF Single Flush Elongated Toilet in White, Seat Included",315863634,1,0,1,https://www.homedepot.com/p/Speakman-Glenwynn-12-in-2-Piece-1-28-GPF-4-8-LPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-T-5000-E/315863634,https://images.thdstatic.com/productImages/03129ff4-fc32-4af3-bdb5-ca9ac6636042/svn/white-speakman-two-piece-toilets-t-5000-e-64_1000.jpg,4.8,416.56,USD
toilet,american standard,"American Standard Cadet 3 in. Tall 2-piece 1.28 GPF Single Flush Round Toilet in White, Seat Included (4-Pack)",315872927,1,0,1,https://www.homedepot.com/p/American-Standard-Cadet-3-in-Tall-2-piece-1-28-GPF-Single-Flush-Round-Toilet-in-White-Seat-Included-4-Pack-3377128ST-4-020/315872927,https://images.thdstatic.com/productImages/bdbd8c09-cf2e-481f-9f52-8a366722f538/svn/white-american-standard-two-piece-toilets-3377128st-4-020-64_1000.jpg,4.4,636,USD
toilet,american standard,"American Standard H2 Option 2-Piece 0.92 Gal. Dual Flush Elongated Toilet in White, Seat Not Included",306776398,1,0,1,https://www.homedepot.com/p/American-Standard-H2-Option-2-Piece-0-92-Gal-Dual-Flush-Elongated-Toilet-in-White-Seat-Not-Included-2886204-020/306776398,https://images.thdstatic.com/productImages/acf03db3-0b4e-4910-8539-9dd8913ddf42/svn/white-american-standard-two-piece-toilets-2886204-020-64_1000.jpg,4.8,387.28,USD
toilet,kohler,"KOHLER Gleam 2-Piece Chair Height 1.28 GPF Single Flush Elongated Toilet in White, Seat Included (9-Pack)",317899684,1,0,1,https://www.homedepot.com/p/KOHLER-Gleam-2-Piece-Chair-Height-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-9-Pack-K-31674-9-0/317899684,https://images.thdstatic.com/productImages/f52018ae-1b5b-4939-98c6-9249fd2d6900/svn/white-kohler-two-piece-toilets-k-31674-9-0-64_1000.jpg,4.4,2878.79,USD
toilet,toto,"TOTO Aquia IV 2-Piece 0.8/1.28 GPF Dual Flush Elongated ADA Comfort Height Toilet in Cotton White, C2 Washlet Seat Included",322135042,1,0,1,https://www.homedepot.com/p/TOTO-Aquia-IV-2-Piece-0-8-1-28-GPF-Dual-Flush-Elongated-ADA-Comfort-Height-Toilet-in-Cotton-White-C2-Washlet-Seat-Included-MW4463074CEMFGN-01/322135042,https://images.thdstatic.com/productImages/71ec8116-3556-46ad-a234-4dc93c6dd513/svn/cotton-white-toto-two-piece-toilets-mw4463074cemfgn-01-64_1000.jpg,0,1086.88,USD
toilet,toto,"TOTO Entrada 2-Piece 1.28 GPF Single Flush Elongated Toilet in Cotton White, Right Hand Trip Lever, Seat Included",320656019,1,0,1,https://www.homedepot.com/p/TOTO-Entrada-2-Piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-Cotton-White-Right-Hand-Trip-Lever-Seat-Included-MS244124EFR-01/320656019,https://images.thdstatic.com/productImages/fe3ddf32-0068-431a-bbc6-1ae7c374d779/svn/cotton-white-toto-two-piece-toilets-ms244124efr-01-64_1000.jpg,0,405.57,USD
toilet,american standard,"American Standard Studio S Right Height 2-Piece 1.28 GPF Single Flush Elongated Toilet with Right Hand Trip Lever in White, Seat Included",314763608,1,0,1,https://www.homedepot.com/p/American-Standard-Studio-S-Right-Height-2-Piece-1-28-GPF-Single-Flush-Elongated-Toilet-with-Right-Hand-Trip-Lever-in-White-Seat-Included-226AA105-020/314763608,https://images.thdstatic.com/productImages/e786dfa0-7e2c-4ddd-84db-88d16abfef26/svn/white-american-standard-two-piece-toilets-226aa105-020-64_1000.jpg,4.6,473.2,USD
toilet,zurn,Zurn High Performance 2-Piece 1.6 GPF Single Flush Elongated ADA Height Toilet in White,206955377,1,0,1,https://www.homedepot.com/p/Zurn-High-Performance-2-Piece-1-6-GPF-Single-Flush-Elongated-ADA-Height-Toilet-in-White-Z5551-K/206955377,https://images.thdstatic.com/productImages/933153d1-2ab1-47a7-b71b-1e99d57ea4d7/svn/white-zurn-two-piece-toilets-z5551-k-64_1000.jpg,4.8,603.92,USD
toilet,toto,"TOTO Drake 2-Piece 1.28 GPF Single Flush Elongated ADA Comfort Height Toilet in Cotton White, K300 Washlet Seat Included",321604645,1,0,1,https://www.homedepot.com/p/TOTO-Drake-2-Piece-1-28-GPF-Single-Flush-Elongated-ADA-Comfort-Height-Toilet-in-Cotton-White-K300-Washlet-Seat-Included-MW7763036CEFG-01/321604645,https://images.thdstatic.com/productImages/9d1712fb-fa80-4db8-8726-00f74630972f/svn/cotton-white-toto-two-piece-toilets-mw7763036cefg-01-64_1000.jpg,0,1153,USD
toilet,kohler,"KOHLER Highline Arc the Complete Solution 2-Piece 1.28 GPF Single Flush Round-Front Toilet in White, Seat Included (6-Pack)",317888647,1,0,1,https://www.homedepot.com/p/KOHLER-Highline-Arc-the-Complete-Solution-2-Piece-1-28-GPF-Single-Flush-Round-Front-Toilet-in-White-Seat-Included-6-Pack-K-78253-6-0/317888647,https://images.thdstatic.com/productImages/3d37543e-894c-4fd1-9103-51262047a884/svn/white-kohler-two-piece-toilets-k-78253-6-0-64_1000.jpg,4.4,1134,USD
